Estação,Prof. (m),Amônio (microM),Nitrito (microM),Nitrato (microM),Fosfato (microM),Silicato (microM),pH 
,600,"0,2170988149","0,199","15,6","1,343358396","20,78837024","7,83"
,1000,"0,2170988149","0,23417","18,643","2,245614035","27,38668256","7,75"
,1170,"0,2368350708","0,223914","19,48632","2,426065163","28,03796767","7,72"
53,5,"0,0394725118","0,216","0,4219","0,0200501253","1,469142773","8,09"
,30,"0,1776263031","0,113","0,5124","0,1002506266","2,277171299","8,14"
,76,"0,1381537913","0,158","0,6621","0,1804511278","2,277171299","8,15"
,130,"0,1578900472","0,143","1,538","0,320802005","2,277171299","8,06"
,600,"0,2368350708","0,1766","18,6941","1,884711779","26,07728423","7,86"
,660,"0,2565713267","0,1957","19,426","1,824561404","27,47296986","7,79"
,710,"0,1776263031","0,208","23,352","2,065162907","29,25942656","7,75"
54,5,"0,1193326948","0,131","0,3852",0,"0,860131393","8,1"
,35,"0,1988878246","0,1768","0,2861","0,1440019721","1,323279066","8,15"
,55,"0,1988878246","0,216","0,6124","0,2468605235","1,323279066","8,1"
,75,"0,1789990421","0,136","3,756","0,4525776265","1,38944302","8,09"
,100,"0,1988878246","0,186","6,691","0,5348644676","1,654098833","8,03"
,155,"0,2386653895","0,152","8,951","0,5965795985","1,918754646",8
,180,"0,2187766071","0,258","10,081","0,6788664397","2,117246506","7,98"
,205,"0,1988878246","0,31","10,573","0,6788664397","2,117246506","7,95"
55,5,0,"0,0863","0,2143","0,0205717103","0,860131393","8,22"
,35,"0,1842","0,1241","0,18632","0,1851453926","1,786426739","8,15"
,54,0,"0,1165","0,4315","0,2262888132","0,9924592997","8,11"
,75,"0,1941","0,11053","0,9467","0,4525776265","1,720262786","7,96"
,100,"0,1922","0,11038","1,057","0,6582947294","2,646558132","7,9"
,124,"0,201","0,1237","1,2145","0,6788664397","2,580394179",8
56,5,"0,18","0,07621","0,1428","0,0205717103","0,860131393","8,2"
,35,"0,18175","0,127","0,1749","0,0617151309","0,9924592997","8,22"
,45,0,"0,085","0,1587","0,3908624956","5,359280218","8,06"
,55,0,"0,1014","0,2317","0,7611532809","8,072002304","7,94"
,80,"0,201","0,08614","0,3147","0,8845835426","8,336658117","7,95"
57,5,"0,1804250479","0,08","0,4365","0,0822868412","1,19095116","8,21"
,20,0,"0,0739","0,3124","0,1234302618","1,124787206","8,21"
,41,"0,1734614464","0,084","0,3517","0,2880039441","3,308197666","8,16"
58,5,0,"0,09143","0,5132","0,1440019721","2,712722086","8,03"
,10,"0,2830160441","0,1017","0,5207","0,2262888132","2,315738366","8,06"
,15,"0,1734614464","0,123321","0,4931","0,2674322338","3,175869759","8,16"
,20,"0,1552023467","0,0856","0,4627","0,3085756544","2,977377899","8,09"
,26,"0,1552023467","0,09341","0,4722","0,349719075","3,0471","8,18"
59,5,0,"0,1321","0,5431","0,2057171029","3,374361619","8,13"
,25,"0,2008500958","0,1014","0,6142","0,2057171029","3,109705806","8,18"
,38,"0,2008500958","0,11325","0,5719","0,4320059162","3,462","8,14"
,50,"0,3651819923","0,09362","0,6321","0,8228684118","3,674","8,03"
,*65,"0,3651819923","0,105231","0,6547","1,028585515","3,924","7,98"
60,5,0,"0,2246","0,3869","0,0205717103","0,9262953464","8,1"
,20,"0,1825909962","0,205","0,5114","0,0946298674","1,054","8,04"
,29,0,"0,1873","0,6317","0,2880039441","1,19095116","8,24"
,48,"0,195545977","0,192","0,7121","0,5348644676","1,984918599","8,16"
,60,"0,180730364","0,221","2,6822","0,9051552529","3,903673245","8,02"
,95,"0,2008500958","0,187","2,7431","1,13254","3,969837199",8
61,5,"0,1822","0,0871","0,4932",0,"2,514230226","8,21"
,25,0,"0,1834","0,5014","0,034502924","2,183410459","8,21"
,67,0,"0,2044","0,5147","0,069005848","2,315738366","8,19"
,112,"0,1932068654","0,212","1,759","0,2932748538","4,763804638","8,04"
,117,"0,2148102981","0,29","1,578","0,2932748538","3,837509292","8,05"
,132,"0,1962059621","0,191","5,413","0,5002923977","5,359280218","8,03"
,182,"0,190171635","0,25176","8,762","0,5520467836","6,153247658","7,99"
,207,"0,180171635","0,243","10,787","0,6900584795","6,219411611","7,98"
,232,"0,1763775971","0,396","15,203","0,8280701754","6,535149977","7,84"
62,5,0,"0,0739","0,2934",0,"2,712722086","8,22"
,23,"0,1827461608","0,0814","0,4152","0,034502924","2,712722086","8,22"
,83,"0,1827461608","0,1149","0,7631","0,1725146199","3,242033712","8,17"
,150,"0,2035142186","0,29","3,857","0,4485380117","3,903673245","8,08"
,300,"0,1763775971","0,298","14,432","0,6383040936","5,557772078","7,98"
,410,"0,2084462511","0,157","16,434","0,9315789474","8,005838351","7,95"
,460,"0,2244805781","0,193","16,68","1,086842105","11,18170811","7,93"
,510,"0,1849932215","0,264","17,491","1,138596491","12,24033136","7,9"
63,5,"0,1782746161","0,0954","0,3147",0,"0,9262953464","8,23"
,46,0,"0,11","0,6627","0,069005848","1,654098833","8,22"
,84,"0,2244805781","0,128","0,8629","0,1207602339","1,786426739","8,18"
,124,"0,2084462511","0,1763","1,135","0,3105263158","2,712722086","8,12"
,290,"0,3206865402","0,2145","5,2241","0,6210526316","4,432984872","8,04"
,450,"0,2244805781","0,1963","8,106","1,035087719","8,468986024","7,95"
,600,"0,3527551942","0,2472","16,721","1,466374269","19,31987437","7,86"
,830,"0,2084462511","0,23226","17,493","1,776900585","27,84578129","7,83"
,930,"0,2084462511","0,217632","19,3247","1,914912281","28,71929174","7,81"
64,5,"0,2725835592","0,057412","0,305","0,069005848","2,117246506","8,16"
,45,"0,2244805781","0,08395","0,122","0,1380116959","2,646558132","8,22"
,84,"0,3527551942","0,11054","0,5416","0,1897660819","1,587934879","8,21"
,100,"0,1924119241","0,205","0,606","0,2415204678","1,984918599","8,15"
,125,"0,2244805781","0,173","5,992","0,5347953216","5,094624405","8,09"
,152,"0,2084462511","0,225","8,494","0,6555555556","5,491608125","8,06"
,180,"0,2244805781","0,2418","11,91","0,8108187135","7,278034864",8
65,5,"0,1843089431","0,0936","0,586","0,069005848","4,631476732","8,17"
,30,"0,1843089431","0,1142","0,423","0,1207602339","2,977377899","8,21"
,40,"0,1943089431","0,09663","2,554","0,2587719298","4,168329059","8,16"
,50,"0,1803432701","0,12539","3,039","0,3795321637","3,837509292","8,11"
,72,"0,1924119241","0,1421","6,71423","0,4657894737","4,697640685","8,07"
,97,"0,20347286","0,1287","7,681","0,6555555556","6,285575565","8,04"
66,5,0,"0,0934","0,517",0,"0,7300569801","8,2"
,25,"0,1928761297","0,077","0,967","0,2353189174","3,504273504","8,15"
,35,"0,1928761297","0,147","1,224","0,2534203726","3,577279202","8,14"
,45,"0,1766985646","0,1696","3,168","0,3439276486","3,942307692","8,05"
,70,"0,1766985646","0,317","7,034","0,6335509316","5,256410256","7,97"
67,5,"0,210446571","0,1164","0,6637",0,"1,022079772","8,16"
,28,"0,1866985646","0,0986","0,8134","0,0905072759","0,8760683761","8,12"
,38,"0,1766985646","0,1143","1,1855","0,2715218278","2,044159544","8,08"
,48,"0,1915204678","0,1362","3,4329","0,5611451108","2,847222222","7,96"
,72,"0,2263423711","0,1473","6,0762","0,6335509316","3,431267806","7,87"
68,5,"0,239287613","0,095241","0,3317",0,"3,504273504","8,13"
,18,"0,2218766614","0,184","0,5144","0,0543043656","5,47542735","8,17"
,28,"0,2959861776","0,162","0,486","0,1629130967","7,592592593","8,11"
,40,"0,2089314195","0,491","2,687","0,2534203726","8,468660969","7,99"
,67,"0,3830409357","0,347","4,642","0,380130559","10,00178063","7,95"
69,5,0,"0,17","0,4127",0,"3,796296296","8,1"
,20,"0,1928761297","0,2347","0,3159","0,1267101863","7,519586895","8,04"
,32,"0,2139287613","0,364","0,343","0,2715218278","8,103632479","8,06"
,40,"0,1818766614","0,346","1,161","0,3620291038","8,979700855",8
,50,"0,1934821903","0,348","2,81","0,5249422005","10,07478632","7,26"
70,5,"0,1933","0,1324","0,27685","0,055764411","1,253702738","8,05"
,10,"0,2067967532","0,1632","0,32114","0,1301169591","1,41041558","8,11"
,13,"0,1807385905","0,17462","0,29614","0,1301169591","1,645484844","8,12"
71,5,"0,1804878245","0,096","0,2174","0,1301169591","1,175346317","8,1"
,8,"0,1807317368","0,0914","0,2237","0,1301169591","1,096989896","8,11"
,15,"0,1927967532","0,083","0,2574","0,1301169591","0,9402770536","8,11"
,22,"0,1917073859","0,0958","0,2498","0,1301169591","1,096989896","8,11"
72,5,0,"0,1325","0,2317","0,1487050961","1,645484844","8,1"
,8,"0,1839837661","0,0957","0,2438",0,"1,488772001","8,13"
,13,"0,1837398538","0,1147","0,2234","0,037176274","1,175346317","8,16"
,18,"0,2100487825","0,1328","0,2741","0,074352548","0,9402770536","8,16"
,30,"0,2507317368","0,1279","2,067","0,1858813701","1,332059159","8,07"
,43,"0,2507317368","0,1628","1,989","0,1858813701","1,802197686","8,06"
73,5,0,"0,15325","0,3982","0,0584722676","0,7052077902","7,58"
,30,"0,1871451005","0,1943","0,5293","0,0584722676","0,5484949479","8,11"
,60,"0,2535882535","0,165","0,6145","0,1754168029","0,7052077902","8,11"
,90,"0,1893137558","0,218","0,934","0,3313428499","1,332059159","8,13"
,300,"0,2107176507","0,234","13,156","0,9550470379","3,526038951","7,94"
,410,"0,1771451005","0,249","18,299","1,188936108","4,936454531","7,92"
,485,"0,1853588253","0,20176","19,763","1,3253714","5,798375164","7,91"
,510,"0,2107176507","0,19662","20,931","1,364352911","6,581939375","7,91"
,2150,"0,2250392582","0,2146","37,6914","0,5067596528","33,84997393","7,98"
74,5,"0,3036667698","0,0946","0,5214","0,1364352911","1,488772001","8,02"
,26,"0,2535882535","0,1369","0,3271","0,1169445353","0,7835642113","8,19"
,66,"0,2250392582","0,1876","0,4469","0,1364352911","0,7052077902","8,2"
,106,"0,197176507","0,2314","1,325","0,2533798264","0,8619206324","8,17"
,1085,"0,1871451005","0,316","35,111","2,007547855","21,93979792","7,87"
,1125,"0,1893137558","0,315","35,008","2,046529367","23,19350065","7,85"
,1185,"0,2107176507","0,19","34,581","2,105001635","20,7644516","7,83"
75,5,"0,177176507","0,057","0,3268","0,1754168029","1,332059159","8,19"
,45,"0,1925039258","0,168","0,4105","0,1754168029","1,096989896","8,23"
,95,"0,1964902628","0,19","0,3219","0,2143983146","0,7835642113","8,23"
,145,"0,2500785163","0,2135","1,714","0,2923613381","0,8619206324","8,21"
,1060,"0,214353014","0,2049","35,206","2,046529367","18,33540254","7,88"
,1110,"0,1964902628","0,222","35,881","2,046529367","19,2756796","7,85"
,1160,"0,2429020093","0,2351","34,481","2,12449239","20,21595665","7,85"
76,5,0,"0,13","0,1941","0,0389815118","0,6520715631",8
,20,"0,2250392582","0,132","0,2258","0,0779630235","0,9129001883","8,18"
,76,"0,1893137558","0,1486","0,392","0,1364352911","0,7172787194","8,18"
,120,"0,1786275117","0,156","1,978","0,3313428499","1,369350282","8,06"
,435,"0,214353014","0,18","22,12","1,266899132","4,368879473","7,91"
,460,"0,1786275117","0,14","25,072","1,442315935","5,868644068","7,85"
77,5,"0,1964902628","0,056","0,2531","0,1754168029","1,043314501","8,04"
,10,"0,1750392582","0,1017","0,2368","0,1949075588","1,304143126","8,1"
,22,"0,1807647605","0,095","0,38","0,2143983146","0,9781073446","8,11"
,31,"0,1807647605","0,13254","0,5962","0,2143983146","1,23893597","8,11"
,59,"0,1964902628","0,101","0,8814","0,3508336058","1,173728814","8,09"
78,5,"0,1964902628","0,058","0,2412","0,2143983146","0,9129001883","8,12"
,12,"0,1964902628","0,045","0,1954","0,2143983146","0,9781073446","8,14"
,22,"0,2679412675","0,079","0,1635","0,2143983146","1,043314501","8,14"
,26,"0,214353014","0,097","0,2111","0,2143983146","0,9129001883","8,14"
79,5,"0,2679412675","0,0814","0,1233","0,2338890705","1,173728814","8,13"
,9,"0,1786275117","0,083","0,1421","0,2143983146","1,108521657","8,12"
,12,"0,214353014","0,0942","0,1436","0,2143983146","1,108521657","8,12"
80,5,0,"0,0811","0,1325","0,103851583","2,155940594","7,99"
,14,"0,1938996814","0,0652","0,1249","0,3323250655","1,658415842","8,02"
,23,"0,1761887142","0,0722","0,167","0,2907844323","3,316831683","8,04"
81,5,0,"0,0946","0,14398","0,1654593306","1,077970297","8,05"
,17,0,"0,1028","0,12512","0,1985511967","1,326732673","8,12"
,29,"0,1753962381","0,156","0,16732","0,2150971298","1,160891089","8,16"
,54,"0,1859749203","0,1563","0,6214","0,4632861257","1,99009901","8,08"
82,5,0,"0,073","0,1529","0,1820052637","1,160891089","8,06"
,17,0,"0,0839","0,1386","0,1985511967","1,492574257","8,14"
,26,"0,1818871415","0,114","0,1321","0,1654593306","0,995049505","8,16"
,45,"0,1838996814","0,1141","0,5214","0,3971023935","1,077970297","8,11"
,54,"0,1798746017","0,124","0,6389","0,5625617241","2,073019802","8,07"
,79,"0,1818871415","0,1523","0,8624","0,5956535902","2,238861386","8,05"
83,5,0,"0,0621","0,114","0,0661837323","0,5804455446","7,48"
,11,"0,1753962381","0,0917","0,1237","0,1323674645","0,9121287129","8,13"
,21,"0,1794984068","0,1293","0,1352","0,1158215314","0,6633663366","8,19"
,40,0,"0,149","0,752","0,2978267951","1,243811881","8,12"
,110,0,"0,1357","3,375","0,4301942596","1,741336634","8,13"
,260,"0,1949840682","0,109","8,484","0,6618373225","2,570544554","8,12"
,440,"0,1753962381","0,1601","20,828","1,125123448","6,467821782","7,91"
,515,"0,1853962381","0,153","23,808","1,224399047","7,214108911","7,92"
,540,"0,1871949841","0,238","25,088","1,257490913","8,292079208","7,9"
84,5,0,"0,022","0,1322","0,1654593306","1,409653465","8,05"
,40,0,"0,088","0,6638","0,1323674645","0,7462871287","8,22"
,115,"0,193597492","0,2147","2,4186","0,1654593306","0,6633663366","8,24"
,190,"0,1912591222","0,224","5,295","0,3971023935","1,326732673","8,09"
,400,"0,1843899681","0,147","19,88","0,9762100506","4,063118812","8,01"
,600,"0,1949840682","0,186","26,906","0,9927559837","4,726485149","7,97"
,910,"0,2338369822","0,2627","31,756","1,654593306","16,91584158","7,88"
85,5,0,"0,0863","0,23147",0,"1,774926177","8,06"
,35,"0,1838996814","0,0971","0,1958","0,0992755984","0,5071217648","8,18"
,107,"0,2053962381","0,125","0,3274","0,1323674645","0,4226014707","8,23"
,150,"0,1949840682","0,106","0,295","0,2316430629","0,5071217648","8,24"
,250,"0,1794984068","0,255","7,32","0,546015791","2,113007353","8,06"
,400,"0,1899373009","0,221","16,9","0,6783832555","3,634372648","7,97"
,600,"0,2077993627","0,096","27,58","1,373312444","8,113948237","7,9"
,1000,"0,1871949841","0,158","38,383","1,737322971","23,41212148","7,85"
,1500,"0,19223544","0,15","30,545","1,40640431","19,94678942","7,84"
,1770,"0,1832542","0,15684","31,5862","1,24094498","15,46721383","7,85"
,2000,"0,2011475","0,197","34,263","1,092031582","13,69228765","7,86"
86,5,"0,18513",0,0,"0,0661837323","0,7606826472","8,13"
,22,0,"0,0568","0,1763","0,0661837323","0,5916420589","8,24"
,100,"0,1798746017","0,179","3,769","0,4963779918","1,01424353","7,82"
,160,"0,20135","0,288","5,537","0,4798320588","1,690405883","7,99"
,300,"0,1759122212","0,186","12,367","0,7280210547","2,620129118","7,96"
,500,"0,18379","0,185","25,158","1,257490913","6,930664119","7,85"
,700,"0,1761949841","0,1847","28,786","1,62150144","12,00188177","7,8"
,1500,"0,1798746017","0,196","30,713","1,472588042","19,69322853","7,81"
87,5,"0,1792476102","0,048","0,1132","0,1820052637","0,5804455446","8,02"
,12,"0,1899373009","0,0674","0,1462","0,1985511967","1,160891089","8,12"
,22,"0,20426","0,0623","0,1876","0,1323674645","0,5804455446","8,15"
,40,"0,1825912221","0,0519","0,2114","0,3474645943","1,077970297","8,12"
,200,"0,1792476102","0,1547","7,629","0,6287454563","2,238861386","8,02"
,400,"0,2053962381","0,1716","28,825","1,472588042","9,535891089","7,85"
,600,"0,1918871415","0,159","18,193","1,092031582","4,560643564","7,86"
,882,"0,1853962381","0,157","28,31","1,820052637","19,07178218","7,82"
,907,"0,1798746017","0,187","32,181","1,83659857","20,31559406","7,79"
,932,"0,107924761","0,231","32,938","1,886236369","23,30074257","7,77"
88,5,"0,1853962381","0,0724","0,1432","0,1820052637","0,7462871287","8,04"
,20,0,"0,09132","0,165","0,1654593306","0,5804455446","8,12"
,48,0,"0,1029","0,2115","0,1654593306","0,4975247525","8,15"
,68,"0,1798746017","0,1647","0,575","0,2316430629","0,8292079208","8,15"
,88,"0,193597492","0,28468","29,614","1,902782302","25,125","7,82"
,108,"0,203597492","0,293","29,269","1,902782302","24,0470297","7,79"
89,5,"0,1899373009","0,0827","0,16284","0,2481889959","0,7462871287","8,16"
,23,"0,2034832568","0,067","0,537","0,1654593306","0,5804455446","8,2"
,123,"0,183597492","0,0843","0,574","0,1820052637","0,5804455446","8,19"
,350,"0,2053962381","0,149","12,572","1,009301917","3,648514851","8,04"
,495,"0,1798746017","0,17328","13,152","1,290582779","6,467821782","7,89"
,520,"0,1798746017","0,1869","28,811","1,439496176","8,706683168","7,86"
,595,"0,1853962381","0,21439","29,917","1,505679909","8,292079208","7,83"
90,5,0,0,"0,1021",0,"1,046750017","7,59"
,16,"0,1801144437","0,0539","-0,002","0,1079702846","1,046750017","8,22"
,36,"0,1801144437","0,0635","0,1632","0,1079702846","1,046750017","8,24"
,56,"0,2631314567","0,07841","0,5247","0,1727524553","1,271053592","7,84"
,70,"0,2466857406","0,085","1,7395","0,3239108537","1,570125025","7,74"
,95,"0,2137943085","0,129","2,965","0,4102870813","1,719660742","8,01"
91,5,0,"0,0517","0,2204","0,0431881138","1,196285733","8,2"
,40,0,"0,0621","0,6914","0,1727524553","1,869196459","8,21"
,50,"0,1933714812","0,0844","1,869","0,4534751952","1,196285733","8,14"
92,5,0,"0,0627","0,2561","0,1295643415","1,570125025","8,15"
,18,"0,1781644572","0,0493","0,4628","0,4102870813","2,24303575","8,14"
,30,"0,1832891432","0,0671","0,7544","0,5398514228","2,018732175","8,12"
,49,"0,216445716","0,1021","1,8147","0,5182573659","2,168267892","8,07"
93,5,0,"0,053","0,1953",0,"0,6729107251","8,09"
,10,"0,1815657283",0,"0,1022",0,"0,5233750084","8,2"
,20,"0,1809028764","0,061","0,477","0,3455049106","0,4486071501","8,12"
,29,"0,2960228887","0,308","0,622","0,4534751952","0,7476785834","8,1"
94,5,"0,2137943085","0,034","0,2214",0,"1,046750017","8,18"
,10,"0,18621","0,058","0,2358","0,0215940569","1,34582145","8,24"
,25,"0,18417","0,259","0,5214","0,1511583984","1,196285733","8,2"
,40,"0,1973485925","0,2428","0,6729","0,4102870813","0,9719821585","8,12"
95,5,"0,1751200123","0,0562","0,1762","0,1511583984","0,2990714334","8,2"
,21,0,"0,073","0,2622","0,1079702846","0,2990714334","8,21"
,31,"0,1845","0,1041","0,4318","0,237534626","0,5981428667","8,2"
,41,"0,1935","0,1233","0,4922","0,259128683","0,9719821585","8,19"
,51,"0,2011","0,1766","0,5217","0,3239108537","1,196285733","8,19"
96,5,"0,1815657283","0,08","0,2014","0,1727524553","0,6729107251","8,14"
,33,"0,2137943085","0,1425","0,4876","0,1079702846","0,8972143001","8,25"
,53,"0,1976","0,1233","0,5639","0,1295643415","0,7476785834","8,26"
,73,"0,1793371481","0,1079","0,7394","0,2807227399","2,766410759","8,2"
,93,"0,1951200123","0,1325","1,3547","0,3455049106","4,710375076","8,17"
97,5,0,"0,1","0,1745","0,259128683","2,467339325","8,23"
,50,0,"0,128","0,5142","0,1295643415","1,570125025","8,28"
,63,"0,1891432082","0,12358","0,6251","0,0863762277","1,570125025","8,28"
,88,"0,2032891432","0,1338","0,849","0,2159405691","1,7944286","8,27"
98,5,0,"0,06214","0,1237","0,0863762277","0,6729107251","8,25"
,30,"0,1823","0,1142","0,5124","0,0215940569","0,8972143001","8,28"
,87,"0,1933","0,1421","0,8124","0,1511583984","0,7476785834","8,24"
,150,"0,1824","0,173","1,534","0,4318811383","2,766410759","8,07"
,580,"0,2014","0,253","22,142","1,684336439","7,701089409","7,89"
,1165,"0,2213","0,269","31,148","2,267375976","17,34614314","7,84"
,1190,"0,2138","0,31","31,355","2,332158147","21,08453605","7,81"
99,5,0,"0,102","0,1354",0,"1,644892884","8,16"
,40,"0,1821983274","0,075","0,3241","0,0191110187","0,8224464418","8,18"
,110,"0,1839784946","0,1214","0,4896","0,1528881492","1,271053592","8,24"
,180,"0,1839784946","0,113","3,461","0,496886485","3,5888572","8,18"
,1255,"0,2915173238","0,241","36,874","1,911101865","22,4593404","8,88"
100,5,0,"0,08413","0,1763","0,0191110187","1,943964317","8,1"
,25,0,"0,06284","0,1628",0,"2,392571467","8,18"
,50,"0,1931899642","0,07412","0,3418","0,0955550933","2,168267892","8,22"
,100,"0,1931899642","0,1325","0,82513","0,1719991679","2,24303575","8,22"
,143,"0,1839784946","0,198","4,889","0,6688856529","5,458053659","8,08"
101,5,0,"0,0201",0,0,"4,336535784","8,13"
,30,"0,183265214","0,061","0,18234","0,0955550933","3,364553625","8,21"
,50,"0,1931899642","0,06258","0,17","0,0382220373","2,467339325","8,21"
,65,"0,2004181601","0,079","0,388","0,1337771306","2,392571467","8,21"
,90,"0,1821983274","0,159","0,797","0,1911101865","2,6916429","8,21"
,114,"0,2368578256","0,2347","1,533","0,2293322238","3,439321484","8,18"
102,5,"0,1821983274","0,0652","0,1176","0,1337771306","1,644892884","8,22"
,20,"0,1787933094","0,1532","0,1746","0,1337771306","4,187000067","8,25"
,40,"0,1753882915","0,168","0,184","0,1337771306","3,5888572","8,24"
,70,"0,1797849462","0,154","1,4528","0,1911101865","4,486071501","8,23"
,95,"0,2004181601","0,119","4,525","0,439553429","5,458053659","8,2"
,120,"0,2186379928","0,193","9,817","0,6688856529","7,252482259","8,02"
103,5,0,"0,0847","0,1241",0,"5,009446509","8,04"
,12,0,"0,06833","0,2322","0,1337771306","5,906660809","8,12"
,31,"0,2186379928","0,1045","0,489","0,2866652798","4,635607217","8,12"
,55,"0,1836439665","0,266","1,222","0,3057762985","4,785142934","8,13"
,80,"0,1836439665","0,318","6,935","0,6306636156","6,280500101","8,08"
